method,store,variable,source_id,experiment_id,msft_val,osn_data_val,osn_rechunked_val,classification
GARD-SV,ScenarioMIP.CCCma.CanESM5.ssp370.r1i1p1f1.day.GARD-SV.pr.zarr,pr,CanESM5,ssp370,6.828800201416016,6.828800201416016,6.828800201416016,ok
GARD-SV,ScenarioMIP.CCCma.CanESM5.ssp370.r1i1p1f1.day.GARD-SV.tasmax.zarr,tasmax,CanESM5,ssp370,300.2944030761719,300.2944030761719,nan,bad_rechunk
GARD-SV,ScenarioMIP.CCCma.CanESM5.ssp370.r1i1p1f1.day.GARD-SV.tasmin.zarr,tasmin,CanESM5,ssp370,298.9591979980469,298.9591979980469,nan,bad_rechunk
GARD-SV,ScenarioMIP.CCCma.CanESM5.ssp585.r1i1p1f1.day.GARD-SV.pr.zarr,pr,CanESM5,ssp585,6.627755165100098,6.627755165100098,6.627755165100098,ok
GARD-SV,ScenarioMIP.CCCma.CanESM5.ssp585.r1i1p1f1.day.GARD-SV.tasmax.zarr,tasmax,CanESM5,ssp585,300.62384033203125,300.62384033203125,nan,bad_rechunk
GARD-SV,ScenarioMIP.CCCma.CanESM5.ssp585.r1i1p1f1.day.GARD-SV.tasmin.zarr,tasmin,CanESM5,ssp585,299.363525390625,299.363525390625,nan,bad_rechunk
GARD-SV,ScenarioMIP.DKRZ.MPI-ESM1-2-HR.ssp245.r1i1p1f1.day.GARD-SV.pr.zarr,pr,MPI-ESM1-2-HR,ssp245,1.0405330657958984,1.0405330657958984,1.0405330657958984,ok
GARD-SV,ScenarioMIP.DKRZ.MPI-ESM1-2-HR.ssp245.r1i1p1f1.day.GARD-SV.tasmax.zarr,tasmax,MPI-ESM1-2-HR,ssp245,300.3975524902344,300.3975524902344,nan,bad_rechunk
GARD-SV,ScenarioMIP.DKRZ.MPI-ESM1-2-HR.ssp245.r1i1p1f1.day.GARD-SV.tasmin.zarr,tasmin,MPI-ESM1-2-HR,ssp245,298.31048583984375,298.31048583984375,nan,bad_rechunk
GARD-SV,ScenarioMIP.DKRZ.MPI-ESM1-2-HR.ssp370.r1i1p1f1.day.GARD-SV.pr.zarr,pr,MPI-ESM1-2-HR,ssp370,0.9450535774230957,0.9450535774230957,0.9450535774230957,ok
GARD-SV,ScenarioMIP.DKRZ.MPI-ESM1-2-HR.ssp370.r1i1p1f1.day.GARD-SV.tasmax.zarr,tasmax,MPI-ESM1-2-HR,ssp370,300.5224914550781,300.5224914550781,nan,bad_rechunk
GARD-SV,ScenarioMIP.DKRZ.MPI-ESM1-2-HR.ssp370.r1i1p1f1.day.GARD-SV.tasmin.zarr,tasmin,MPI-ESM1-2-HR,ssp370,298.4736328125,298.4736328125,nan,bad_rechunk
GARD-SV,ScenarioMIP.DKRZ.MPI-ESM1-2-HR.ssp585.r1i1p1f1.day.GARD-SV.pr.zarr,pr,MPI-ESM1-2-HR,ssp585,1.09872305393219,1.09872305393219,1.09872305393219,ok
GARD-SV,ScenarioMIP.DKRZ.MPI-ESM1-2-HR.ssp585.r1i1p1f1.day.GARD-SV.tasmax.zarr,tasmax,MPI-ESM1-2-HR,ssp585,300.5985107421875,300.5985107421875,nan,bad_rechunk
GARD-SV,ScenarioMIP.DKRZ.MPI-ESM1-2-HR.ssp585.r1i1p1f1.day.GARD-SV.tasmin.zarr,tasmin,MPI-ESM1-2-HR,ssp585,298.5906982421875,298.5906982421875,nan,bad_rechunk
GARD-SV,ScenarioMIP.MIROC.MIROC6.ssp245.r1i1p1f1.day.GARD-SV.tasmax.zarr,tasmax,MIROC6,ssp245,300.1524658203125,300.1524658203125,300.1524658203125,ok
GARD-SV,ScenarioMIP.MIROC.MIROC6.ssp245.r1i1p1f1.day.GARD-SV.tasmin.zarr,tasmin,MIROC6,ssp245,298.9761657714844,298.9761657714844,nan,bad_rechunk
GARD-SV,ScenarioMIP.MIROC.MIROC6.ssp370.r1i1p1f1.day.GARD-SV.tasmax.zarr,tasmax,MIROC6,ssp370,300.4965515136719,300.4965515136719,300.4965515136719,ok
GARD-SV,ScenarioMIP.MIROC.MIROC6.ssp370.r1i1p1f1.day.GARD-SV.tasmin.zarr,tasmin,MIROC6,ssp370,299.2190246582031,299.2190246582031,nan,bad_rechunk
GARD-SV,ScenarioMIP.MIROC.MIROC6.ssp585.r1i1p1f1.day.GARD-SV.pr.zarr,pr,MIROC6,ssp585,6.12642543273978e-05,6.12642543273978e-05,6.12642543273978e-05,ok
GARD-SV,ScenarioMIP.MIROC.MIROC6.ssp585.r1i1p1f1.day.GARD-SV.tasmax.zarr,tasmax,MIROC6,ssp585,300.5055847167969,300.5055847167969,nan,bad_rechunk
GARD-SV,ScenarioMIP.MIROC.MIROC6.ssp585.r1i1p1f1.day.GARD-SV.tasmin.zarr,tasmin,MIROC6,ssp585,299.2294616699219,299.2294616699219,299.2294616699219,ok
GARD-SV,ScenarioMIP.MRI.MRI-ESM2-0.ssp245.r1i1p1f1.day.GARD-SV.pr.zarr,pr,MRI-ESM2-0,ssp245,8.877276420593262,8.877276420593262,8.877276420593262,ok
GARD-SV,ScenarioMIP.MRI.MRI-ESM2-0.ssp245.r1i1p1f1.day.GARD-SV.tasmax.zarr,tasmax,MRI-ESM2-0,ssp245,300.12353515625,300.12353515625,300.12353515625,ok
GARD-SV,ScenarioMIP.MRI.MRI-ESM2-0.ssp245.r1i1p1f1.day.GARD-SV.tasmin.zarr,tasmin,MRI-ESM2-0,ssp245,298.36419677734375,298.36419677734375,nan,bad_rechunk
GARD-SV,ScenarioMIP.MRI.MRI-ESM2-0.ssp370.r1i1p1f1.day.GARD-SV.pr.zarr,pr,MRI-ESM2-0,ssp370,8.807500839233398,8.807500839233398,8.807500839233398,ok
MACA,CMIP.MRI.MRI-ESM2-0.historical.r1i1p1f1.day.MACA.pr.zarr,pr,MRI-ESM2-0,historical,nan,nan,nan,bad_original_write
MACA,CMIP.MRI.MRI-ESM2-0.historical.r1i1p1f1.day.MACA.tasmax.zarr,tasmax,MRI-ESM2-0,historical,nan,nan,nan,bad_original_write
MACA,CMIP.MRI.MRI-ESM2-0.historical.r1i1p1f1.day.MACA.tasmin.zarr,tasmin,MRI-ESM2-0,historical,nan,nan,nan,bad_original_write
MACA,CMIP.NCC.NorESM2-LM.historical.r1i1p1f1.day.MACA.pr.zarr,pr,NorESM2-LM,historical,nan,nan,nan,bad_original_write
MACA,CMIP.NCC.NorESM2-LM.historical.r1i1p1f1.day.MACA.tasmax.zarr,tasmax,NorESM2-LM,historical,nan,nan,nan,bad_original_write
MACA,CMIP.NCC.NorESM2-LM.historical.r1i1p1f1.day.MACA.tasmin.zarr,tasmin,NorESM2-LM,historical,nan,nan,nan,bad_original_write
MACA,ScenarioMIP.MRI.MRI-ESM2-0.ssp245.r1i1p1f1.day.MACA.tasmax.zarr,tasmax,MRI-ESM2-0,ssp245,nan,nan,nan,bad_original_write
MACA,ScenarioMIP.MRI.MRI-ESM2-0.ssp245.r1i1p1f1.day.MACA.tasmin.zarr,tasmin,MRI-ESM2-0,ssp245,nan,nan,nan,bad_original_write
MACA,ScenarioMIP.MRI.MRI-ESM2-0.ssp585.r1i1p1f1.day.MACA.pr.zarr,pr,MRI-ESM2-0,ssp585,nan,nan,nan,bad_original_write
MACA,ScenarioMIP.MRI.MRI-ESM2-0.ssp585.r1i1p1f1.day.MACA.tasmax.zarr,tasmax,MRI-ESM2-0,ssp585,nan,nan,nan,bad_original_write
MACA,ScenarioMIP.NCC.NorESM2-LM.ssp245.r1i1p1f1.day.MACA.pr.zarr,pr,NorESM2-LM,ssp245,nan,nan,nan,bad_original_write
MACA,ScenarioMIP.NCC.NorESM2-LM.ssp245.r1i1p1f1.day.MACA.tasmax.zarr,tasmax,NorESM2-LM,ssp245,nan,nan,nan,bad_original_write
MACA,ScenarioMIP.NCC.NorESM2-LM.ssp245.r1i1p1f1.day.MACA.tasmin.zarr,tasmin,NorESM2-LM,ssp245,nan,nan,nan,bad_original_write
